cui,establecimiento,domicilio
<a href='https://jpcib.github.io/sistemaBochi/pages/0200455.html'>0200455</a>,EPC N°16 CAP.DE FRAGATA CARLOS M.MOYANO - EPA N° 16 CAP.DE FRAGATA CARLOS M.MOYANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200455.html'>MOLDES 1102</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200456.html'>0200456</a>,CAI N° 17 DE 09 - JII N° 04/09° - EPC N° 17 BLAS PARERA - EPA N° 17 BLAS PARERA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200456.html'>PARAGUAY 4301</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200457.html'>0200457</a>,EPC N° 18 YAPEYU - JIN D (EPCJC 18/09°) - ESC. DE MUSICA N° 08,<a href='https://jpcib.github.io/sistemaBochi/pages/0200457.html'>MALABIA 964</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200458.html'>0200458</a>,JIN D (EPCJS 19/09°) - EPC N° 19 PROVINCIA DEL CHUBUT - CAIYJ CHACARITA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200458.html'>HUMBOLDT 742</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200459.html'>0200459</a>,JIN C (EPCJC 20/09°) [S] - EPC N° 20 CARLOS MARIA BIEDMA - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 09,<a href='https://jpcib.github.io/sistemaBochi/pages/0200459.html'>GUEMES 4610</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200460.html'>0200460</a>,JIN C (EPCJS 23/09°) - EPC N° 23 DR. JOSE MARIA BUSTILLO - EPA N° 23 DR. JOSE MARIA BUSTILLO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200460.html'>THAMES 1361</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200461.html'>0200461</a>,EPC N° 30 GRANADEROS DE SAN MARTIN - JIC N° 02/09° GRANADEROS DE SAN MARTIN - ESCUELA DE MAESTROS ([A] 07),<a href='https://jpcib.github.io/sistemaBochi/pages/0200461.html'>AVDA. DEL LIBERTADOR 4903</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200462.html'>0200462</a>,Sup Inicial IX A - JIC N° 09/09°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200462.html'>MOLDES 1220</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200464.html'>0200464</a>,JII N° 01/09° DR. ALFREDO PALACIOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200464.html'>URIARTE 2235</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200465.html'>0200465</a>,ESPACIO PRIMERA INFANCIA COLEGIO N°04 - COLEGIO N° 04 NICOLAS AVELLANEDA - CAIYJ CLUB AVELLANEDA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200465.html'>EL SALVADOR 5528</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200466.html'>0200466</a>,ESC. DE COM. N° 31 NACIONES UNIDAS - IFTS N° 03 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 04,<a href='https://jpcib.github.io/sistemaBochi/pages/0200466.html'>ANGEL JUSTINIANO CARRANZA 2045</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200467.html'>0200467</a>,CENS N° 38 - IFTS N° 22 - ESC. TEC. N° 02 OSVALDO MAGNASCO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200467.html'>AVDA. SANTA FE 3727</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200468.html'>0200468</a>,ESC. TEC. N° 03 MARIA SANCHEZ DE THOMPSON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200468.html'>AVDA. CABILDO 40</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200469.html'>0200469</a>,Sup Media Region VIII A Sup Media Tecnica Region VIII - ESC. TEC. N° 34 ING. ENRIQUE MARTIN HERMITTE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200469.html'>LOYOLA 1500</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200470.html'>0200470</a>,EEM N° 07/09° MARIA CLAUDIA FALCONE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200470.html'>MALABIA 2148</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200471.html'>0200471</a>,ESC. TEC. DE JARDINERIA CRISTOBAL M. HICKEN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200471.html'>AVDA. GRAL. LAS HERAS 4078</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200472.html'>0200472</a>,INST. SUPERIOR DEL PROF. DE EDUC. INICIAL SARA CHAMBERLAIN DE ECCLESTON (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200472.html'>AVDA. DORREGO 3751</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200473.html'>0200473</a>,CENTRO EDUCATIVO PARA NIÑOS EN TIEMPOS Y ESPACIOS SINGULARES N° 02,<a href='https://jpcib.github.io/sistemaBochi/pages/0200473.html'>JUAN FRANCISCO SEGUI 3755</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200474.html'>0200474</a>,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 04 DR. RAFAEL  ARCONE",<a href='https://jpcib.github.io/sistemaBochi/pages/0200474.html'>NICARAGUA 5732</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200475.html'>0200475</a>,ESC. PARA NIÑOS Y NIÑAS CON SEVEROS TRASTORNOS DE LA PERSONALIDAD N° 17 ARMINDA ABERASTURY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200475.html'>RAUL SCALABRINI ORTIZ 2760</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200476.html'>0200476</a>,ESC. PARA NIÑOS Y NIÑAS CON DISCAPACIDAD MENTAL N° 25 MACACHA GÜEMES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200476.html'>GUEMES 4059</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200477.html'>0200477</a>,"ESC. PARA NIÑOS, NIÑAS Y JÓVENES CON PLURIDISCAPACIDAD N° 26 DR. JORGE GARBER",<a href='https://jpcib.github.io/sistemaBochi/pages/0200477.html'>DARREGUEYRA 2460</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200478.html'>0200478</a>,"ESC. DOMICILIARIA PARA NIÑOS, NIÑAS Y JÓVENES CON DISCAPACIDAD N° 08",<a href='https://jpcib.github.io/sistemaBochi/pages/0200478.html'>BONPLAND 1314</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200479.html'>0200479</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 09,<a href='https://jpcib.github.io/sistemaBochi/pages/0200479.html'>LA PAMPA 1240</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200480.html'>0200480</a>,JM N° 08/09° ABRIENDO CAMINOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200480.html'>BONPLAND 1324</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200487.html'>0200487</a>,Superv.Educ.Prim.Zona E Región IX-DE 09,<a href='https://jpcib.github.io/sistemaBochi/pages/0200487.html'>GUEMES 4615</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200491.html'>0200491</a>,INST. SUPERIOR DEL PROF. DE EDUCACIÓN INICIAL SARA CHAMBERLAIN DE ECCLESTON - JIC MITRE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200491.html'>AVDA. DORREGO 3723</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200496.html'>0200496</a>,EPC N° 01 CASTO MUNITA - JIC N° 03/10° [A] - CENOF CENTRO CUBA - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 09,<a href='https://jpcib.github.io/sistemaBochi/pages/0200496.html'>CUBA 2039</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200497.html'>0200497</a>,Superv.Educ.Prim. Zona E Región IX-DE10 - EPC N° 03 ESTEBAN ECHEVERRIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200497.html'>MOLDES 1854</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200498.html'>0200498</a>,EPC N° 04 CNEL. C. F. BRANDSEN - JIN C (EPCJS 04/10°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200498.html'>JUANA AZURDUY 2541</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200499.html'>0200499</a>,EPC N° 05 JUAN BAUTISTA ALBERDI - JIC N° 03/10° SEDE - CECIE N° 10,<a href='https://jpcib.github.io/sistemaBochi/pages/0200499.html'>MOLDES 2043</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200500.html'>0200500</a>,EPC N° 06 MANUEL DORREGO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200500.html'>BESARES 2990</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200501.html'>0200501</a>,Sup Inicial IX B - EPC N° 07 MANUEL J. GARCIA - CENOF CENTRO CABILDO - JM N° 07/10°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200501.html'>AVDA. CABILDO 3615</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200502.html'>0200502</a>,EPC N° 08 ALTE. RAMON GONZALEZ FERNANDEZ - JII N° 04/10°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200502.html'>MENDOZA 1000</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200503.html'>0200503</a>,JIN A (EPCJS 09/10°) [S] - EPC N° 09 EVARISTO JULIO BADIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200503.html'>O'HIGGINS 3050</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200504.html'>0200504</a>,JIN A (EPCJC 10/10°) - EPC N° 10 JOAQUIN MARIA CULLEN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200504.html'>11 DE SEPTIEMBRE DE 1888 3451</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200505.html'>0200505</a>,EPC N° 11 PRIMER MINISTRO INDIRA GANDHI - JIN D (EPCJC 11/10°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200505.html'>AVDA. INTENDENTE CANTILO Y LA PAMPA</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200506.html'>0200506</a>,JIC N° 09/10° - EPC N° 12 PROF. RODOLFO SENET - CENS N° 81,<a href='https://jpcib.github.io/sistemaBochi/pages/0200506.html'>AVDA. CRAMER 3271</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200507.html'>0200507</a>,JIN E (EPCJS 13/10°) - EPC N° 13 RICARDO MONNER SANS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200507.html'>RUIZ HUIDOBRO 2643</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200508.html'>0200508</a>,EPC N°14 FRAY MARTIN DEL BARCO CENTENERA - JIC Nº 10 DE 10,<a href='https://jpcib.github.io/sistemaBochi/pages/0200508.html'>ROQUE PEREZ 3545</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200509.html'>0200509</a>,JIC N° 05/10° PABLO PICASSO - EPA N° 15 PROVINCIA DE SANTA FE - EPC N° 15 PROVINCIA DE SANTA FE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200509.html'>PICO 2689</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200510.html'>0200510</a>,EPC N° 16 REPUBLICA DOMINICANA - JIN C (EPCJS 16/10°) - EPA N° 16 REPUBLICA DOMINICANA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200510.html'>AVDA. CONGRESO 3045</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200511.html'>0200511</a>,EPC N° 17 DR. JUAN BALESTRA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200511.html'>ARCOS 2440</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200512.html'>0200512</a>,EPC N° 18 JOSE HERNANDEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200512.html'>LA PAMPA 3855</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200513.html'>0200513</a>,EPA N° 19 PABLO A. PIZZURNO - EPC N° 19 PABLO A. PIZZURNO - JIN C (EPCJS 19/10°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200513.html'>AVDA. MONROE 3000</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200514.html'>0200514</a>,JIN A (EPCJS 20/10°) - EPC N° 20 VICEALM. VICENTE E. MONTES - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 10,<a href='https://jpcib.github.io/sistemaBochi/pages/0200514.html'>AVDA. CONGRESO 1553</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200515.html'>0200515</a>,EPC N° 21 CNEL. CORNELIO SAAVEDRA - JIN E (EPCJC 21/10°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200515.html'>PINTO 3910</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200516.html'>0200516</a>,JIN D (EPCJC 22/10°) [S] - EPC N° 22 REMEDIOS DE ESC. DE SAN MARTIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200516.html'>FRANKLIN DELANO ROOSEVELT 1510</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200517.html'>0200517</a>,EPC N° 23 JOSE CLEMENTE PAZ - JIN D (EPCJS 23/10°) - EPA N° 23 JOSE CLEMENTE PAZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200517.html'>MCAL. ANTONIO JOSE DE SUCRE 1367</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200518.html'>0200518</a>,EPC N° 25 REPUBLICA DE TURQUIA - EPA N° 25 REPUBLICA DE TURQUIA - CENS N° 53 - JII N° 02/10° MERCEDITAS - CAI SAAVEDRA MITRE - PI NUEVE LUNAS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200518.html'>AVDA. RUIZ HUIDOBRO 3853</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200519.html'>0200519</a>,CFP N° 07,<a href='https://jpcib.github.io/sistemaBochi/pages/0200519.html'>RAMSAY 2250</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200520.html'>0200520</a>,JII N° 01/10° ATHOS PALMA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200520.html'>MCAL. ANTONIO JOSE DE SUCRE 2284</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200521.html'>0200521</a>,LICEO N° 09 SANTIAGO DERQUI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200521.html'>CONESA 1855</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200523.html'>0200523</a>,INST. SUPERIOR DE DEPORTES - EEM N° 03/10° - INST. SUPERIOR DE EDUCACIÓN FÍSICA N° 01 DR. ENRIQUE ROMERO BREST,<a href='https://jpcib.github.io/sistemaBochi/pages/0200523.html'>AVDA. MIGUEL SANCHEZ 1050</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200524.html'>0200524</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 10 ALFÉREZ DE NAVÍO JOSÉ MARÍA SOBRAL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200524.html'>O'HIGGINS 3401</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200525.html'>0200525</a>,COLEGIO N° 08 JULIO ARGENTINO ROCA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200525.html'>CARLOS E. ZUBERBÜHLER 1850</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200526.html'>0200526</a>,ESC. DE COM. N° 07 MANUEL BELGRANO - PI EL MUNDO DEL REVÉS - EEM N° 02/10° E.REINGRESO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200526.html'>AVDA. MONROE 3061</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200527.html'>0200527</a>,EEM N° 05/10° HEROES DE MALVINAS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200527.html'>AVDA. CRAMER 2136</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200528.html'>0200528</a>,ESC. TEC.S RAGGIO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200528.html'>AVDA. DEL LIBERTADOR 8635</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200529.html'>0200529</a>,ESC. TEC. N° 21 FRAGATA ESCUELA LIBERTAD,<a href='https://jpcib.github.io/sistemaBochi/pages/0200529.html'>NUÑEZ 3620</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200530.html'>0200530</a>,ESC. TEC. N° 28 REPUBLICA FRANCESA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200530.html'>CUBA 2410</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200531.html'>0200531</a>,CBFO N° 03 OLGA COSSETTINI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200531.html'>JURAMENTO 2945</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200532.html'>0200532</a>,ENS N° 10 JUAN BAUTISTA ALBERDI (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200532.html'>O'HIGGINS 2441</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200533.html'>0200533</a>,ENS N° 10 JUAN BAUTISTA ALBERDI ([A]) - CAIYJ CLUB BELGRANO / NUÑEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200533.html'>3 DE FEBRERO 2463</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200542.html'>0200542</a>,ET Raggio (anexo: Polideportivo),<a href='https://jpcib.github.io/sistemaBochi/pages/0200542.html'>LA CACHILA 8631</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200549.html'>0200549</a>,CENS N° 09 - EPC N° 01 JOSE ALFREDO FERREIRA - JIN B (EPCJC 01/11°) - CAIYJ VELEZ SARSFIELD - PI LUCERITOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200549.html'>CNEL. RAMON L. FALCON 4126</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200550.html'>0200550</a>,JIN B (EPCJC 02/11°) - EPC N° 02 MAXIMIO S. VICTORIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200550.html'>CNEL. RAMON L. FALCON 4151</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200551.html'>0200551</a>,JIN B (EPCJC 03/11°) - EPA N° 03 ANGELA M. DE CAVIGLIA - EPC N° 03 ANGELA M. DE CAVIGLIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200551.html'>MARIANO ACOSTA 45</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200552.html'>0200552</a>,EPC N° 04 BENJAMIN ZORRILLA - JIC N° 02/11°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200552.html'>AVDA. SAN PEDRITO 1415</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200553.html'>0200553</a>,JIN C (EPCJS 05/11°) HERMINIA BRUMANA - EPC N° 05 ALBINA GARCIA DE RYAN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200553.html'>PORTELA 734</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200554.html'>0200554</a>,EPA N° 06 DR. CARLOS VAZ FERREIRA - EPC N° 06 DR. CARLOS VAZ FERREIRA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200554.html'>AVDA. VARELA 1040</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200555.html'>0200555</a>,JIN D (EPCJS 07/11°) SIN FRONTERAS - EPC N° 07 TTE. MANUEL FELIX ORIGONE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200555.html'>PUMACAHUA 1247</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200556.html'>0200556</a>,JIN C (EPCJS 08/11°) HERMINIA BRUMANA - EPC N° 08 CNEL.ING.PEDRO ANTONIO CERVIÑO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200556.html'>VARELA 358</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200557.html'>0200557</a>,JIN C (EPCJC 09/11°) HERMINIA BRUMANA - EPC N° 09 JOSE MARIA PAZ - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 11,<a href='https://jpcib.github.io/sistemaBochi/pages/0200557.html'>CNEL. RAMON L. FALCON 2934</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200558.html'>0200558</a>,JINC (EPCJC 10/11°) [S] HERMINIA BRUMANA - EPC N° 10 ING. OCTAVIO S. PICO - CECIE N° 11,<a href='https://jpcib.github.io/sistemaBochi/pages/0200558.html'>AVDA. LAFUENTE 559</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200559.html'>0200559</a>,EPC N° 11 DR. PEDRO GOYENA - JINA (EPCJC 11/11°) BALDOMERO F. MORENO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200559.html'>GREGORIO DE LAFERRERE 3624</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200560.html'>0200560</a>,EPC N° 12 RECONQUISTA - CENOF CENTRO VARELA - ESC. PRIM. 12/11°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200560.html'>AVDA. VARELA 753</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200561.html'>0200561</a>,JIN D (EPCJC 13/11°) SIN FRONTERAS - EPC N° 13 FRANCISCA JACQUES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200561.html'>LAUTARO 1440</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200562.html'>0200562</a>,ESC. TEC. N° 37 HOGAR NAVAL STELLA MARIS - EPC N° 14 HOGAR NAVAL STELLA MARIS - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200562.html'>PERGAMINO 211</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200563.html'>0200563</a>,Sup Primaria DE 11 - JIN D (EPCJS 15/11°) [S] SIN FRONTERAS - EPA N° 15 REPUBLICA ORIENTAL DEL URUGUAY - EPC N° 15 REPUBLICA ORIENTAL DEL URUGUAY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200563.html'>AVDA. CARABOBO 253</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200564.html'>0200564</a>,EPC N°16 DR.F.J.E.DE SANTA CRUZ Y ESPEJO - JIN A (EPCJS 16/11°) BALDOMERO F. MORENO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200564.html'>PRIMERA JUNTA 3445</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200565.html'>0200565</a>,JIN B (EPCJC 17/11°) [S] - EPC N° 17 GRAL. JUAN GALO LAVALLE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200565.html'>GRAL. EUGENIO GARZON 3950</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200566.html'>0200566</a>,JIN B (EPCJS 19/11°) - EPC N° 19 FRAGATA ARA LIBERTAD,<a href='https://jpcib.github.io/sistemaBochi/pages/0200566.html'>JOSE BONIFACIO 3650</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200567.html'>0200567</a>,JINA(EPCJC 20/11°)[S]BALDOMERO F.MORENO - EPC N° 20 ANTONIO ALICE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200567.html'>BALDOMERO FERNANDEZ MORENO 3652</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200568.html'>0200568</a>,EPC N° 22 HIPOLITO BOUCHARD,<a href='https://jpcib.github.io/sistemaBochi/pages/0200568.html'>AVELINO DIAZ 2356</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200569.html'>0200569</a>,EPC N° 23 GRAL. DE DIV. MANUEL N. SAVIO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200569.html'>SAN PEDRITO 1137</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200570.html'>0200570</a>,Sup Inicial IV B - EPC N° 24 DR. PEDRO AVELINO TORRES - JII N° 03/11° - ESC. DE MUSICA N° 07,<a href='https://jpcib.github.io/sistemaBochi/pages/0200570.html'>LAUTARO 752</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200571.html'>0200571</a>,ESC. DE COM. N° 09 JOSE INGENIEROS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200571.html'>CNEL. RAMON L. FALCON 2248</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200572.html'>0200572</a>,ESC. TEC. N° 05 MARIA DE ESCALADA DE SAN MARTIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200572.html'>AVDA. JUAN BAUTISTA ALBERDI 1845</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200573.html'>0200573</a>,ESCUELA INF. N° 04/11° - CAIYJ FLORES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200573.html'>AVDA. VARELA 1425</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200574.html'>0200574</a>,LICEO N° 05 PASCUAL GUAGLIANONE - ESC. TEC.  N° 18 JOSE ANTONIO ALVAREZ CONDARCO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200574.html'>AVDA. CARABOBO 286</a>
