cui,entrega,texto
0200323,2022,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 4, Silla escolar 93"
0200323,2023,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 6, Silla escolar 93"
0200324,2021,"Armario 4, Escritorio 4, Mesa pupitre doble 40, Silla escolar 84"
0200324,2022,"Armario 4, Escritorio 6, Mesa usos múltiples 1"
0200324,2023,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200325,2021,Armario 3
0200325,2022,"Escritorio 4, Mesa pupitre doble 51, Pizarrón 8, Silla escolar 123"
0200325,2023,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200326,2022,"Armario 4, Escritorio 4, Mesa inicial 5, Mesa pupitre doble 60, Pizarrón 5, Silla escolar 150"
0200327,2021,"Armario 4, Escritorio 2, Mesa pupitre doble 30, Pizarrón 4, Silla escolar 62"
0200327,2022,"Escritorio 4, Mesa inicial 3, Mesa pupitre doble 64, Pizarrón 3, Silla escolar 156, Varios 3"
0200327,2023,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200328,2021,"Armario 7, Mesa inicial 5, Mesa usos múltiples 2, Silla escolar 30"
0200330,2021,"Armario 5, Biblioteca 3, Escritorio 3, Mesa pupitre doble 20, Mesa usos múltiples 6, Silla escolar 70"
0200330,2022,"Escritorio 1, Mesa inicial 2, Silla escolar 8"
0200343,2022,"Escritorio 8, Mesa inicial 9, Silla escolar 54"
0200343,2023,"Mesa inicial 2, Silla escolar 20"
0200344,2022,"Armario 3, Pizarrón 6"
0200356,2021,"Banco largo comedor 40, Mesa pupitre doble 35, Mesa usos múltiples 20, Silla escolar 70"
0200356,2022,"Armario 4, Mesa pupitre doble 40, Pizarrón 7, Silla escolar 80"
0200357,2021,Mesa usos múltiples 7
0200357,2023,"Mesa pupitre doble 3, Pizarrón 6, Silla escolar 6"
